"date","hits","keyword","geo","gprop","category"
2017-04-02,48,"estupro","world","web",0
2017-04-09,44,"estupro","world","web",0
2017-04-16,44,"estupro","world","web",0
2017-04-23,41,"estupro","world","web",0
2017-04-30,67,"estupro","world","web",0
2017-05-07,80,"estupro","world","web",0
2017-05-14,48,"estupro","world","web",0
2017-05-21,43,"estupro","world","web",0
2017-05-28,43,"estupro","world","web",0
2017-06-04,41,"estupro","world","web",0
2017-06-11,37,"estupro","world","web",0
2017-06-18,37,"estupro","world","web",0
2017-06-25,39,"estupro","world","web",0
2017-07-02,34,"estupro","world","web",0
2017-07-09,39,"estupro","world","web",0
2017-07-16,37,"estupro","world","web",0
2017-07-23,44,"estupro","world","web",0
2017-07-30,40,"estupro","world","web",0
2017-08-06,46,"estupro","world","web",0
2017-08-13,41,"estupro","world","web",0
2017-08-20,46,"estupro","world","web",0
2017-08-27,67,"estupro","world","web",0
2017-09-03,52,"estupro","world","web",0
2017-09-10,45,"estupro","world","web",0
2017-09-17,40,"estupro","world","web",0
2017-09-24,45,"estupro","world","web",0
2017-10-01,42,"estupro","world","web",0
2017-10-08,36,"estupro","world","web",0
2017-10-15,41,"estupro","world","web",0
2017-10-22,54,"estupro","world","web",0
2017-10-29,43,"estupro","world","web",0
2017-11-05,50,"estupro","world","web",0
2017-11-12,39,"estupro","world","web",0
2017-11-19,43,"estupro","world","web",0
2017-11-26,35,"estupro","world","web",0
2017-12-03,46,"estupro","world","web",0
2017-12-10,35,"estupro","world","web",0
2017-12-17,36,"estupro","world","web",0
2017-12-24,32,"estupro","world","web",0
2017-12-31,29,"estupro","world","web",0
2018-01-07,33,"estupro","world","web",0
2018-01-14,52,"estupro","world","web",0
2018-01-21,46,"estupro","world","web",0
2018-01-28,32,"estupro","world","web",0
2018-02-04,34,"estupro","world","web",0
2018-02-11,34,"estupro","world","web",0
2018-02-18,38,"estupro","world","web",0
2018-02-25,40,"estupro","world","web",0
2018-03-04,38,"estupro","world","web",0
2018-03-11,35,"estupro","world","web",0
2018-03-18,38,"estupro","world","web",0
2018-03-25,32,"estupro","world","web",0
2017-04-02,4,"assédio sexual","world","web",0
2017-04-09,2,"assédio sexual","world","web",0
2017-04-16,1,"assédio sexual","world","web",0
2017-04-23,2,"assédio sexual","world","web",0
2017-04-30,1,"assédio sexual","world","web",0
2017-05-07,2,"assédio sexual","world","web",0
2017-05-14,2,"assédio sexual","world","web",0
2017-05-21,1,"assédio sexual","world","web",0
2017-05-28,1,"assédio sexual","world","web",0
2017-06-04,1,"assédio sexual","world","web",0
2017-06-11,NA,"assédio sexual","world","web",0
2017-06-18,1,"assédio sexual","world","web",0
2017-06-25,1,"assédio sexual","world","web",0
2017-07-02,1,"assédio sexual","world","web",0
2017-07-09,1,"assédio sexual","world","web",0
2017-07-16,1,"assédio sexual","world","web",0
2017-07-23,1,"assédio sexual","world","web",0
2017-07-30,1,"assédio sexual","world","web",0
2017-08-06,1,"assédio sexual","world","web",0
2017-08-13,1,"assédio sexual","world","web",0
2017-08-20,1,"assédio sexual","world","web",0
2017-08-27,2,"assédio sexual","world","web",0
2017-09-03,1,"assédio sexual","world","web",0
2017-09-10,1,"assédio sexual","world","web",0
2017-09-17,1,"assédio sexual","world","web",0
2017-09-24,1,"assédio sexual","world","web",0
2017-10-01,1,"assédio sexual","world","web",0
2017-10-08,1,"assédio sexual","world","web",0
2017-10-15,2,"assédio sexual","world","web",0
2017-10-22,2,"assédio sexual","world","web",0
2017-10-29,2,"assédio sexual","world","web",0
2017-11-05,1,"assédio sexual","world","web",0
2017-11-12,1,"assédio sexual","world","web",0
2017-11-19,1,"assédio sexual","world","web",0
2017-11-26,1,"assédio sexual","world","web",0
2017-12-03,1,"assédio sexual","world","web",0
2017-12-10,1,"assédio sexual","world","web",0
2017-12-17,1,"assédio sexual","world","web",0
2017-12-24,1,"assédio sexual","world","web",0
2017-12-31,NA,"assédio sexual","world","web",0
2018-01-07,1,"assédio sexual","world","web",0
2018-01-14,1,"assédio sexual","world","web",0
2018-01-21,1,"assédio sexual","world","web",0
2018-01-28,1,"assédio sexual","world","web",0
2018-02-04,1,"assédio sexual","world","web",0
2018-02-11,1,"assédio sexual","world","web",0
2018-02-18,1,"assédio sexual","world","web",0
2018-02-25,2,"assédio sexual","world","web",0
2018-03-04,2,"assédio sexual","world","web",0
2018-03-11,2,"assédio sexual","world","web",0
2018-03-18,2,"assédio sexual","world","web",0
2018-03-25,1,"assédio sexual","world","web",0
2017-04-02,64,"assalto","world","web",0
2017-04-09,51,"assalto","world","web",0
2017-04-16,49,"assalto","world","web",0
2017-04-23,100,"assalto","world","web",0
2017-04-30,59,"assalto","world","web",0
2017-05-07,57,"assalto","world","web",0
2017-05-14,47,"assalto","world","web",0
2017-05-21,54,"assalto","world","web",0
2017-05-28,58,"assalto","world","web",0
2017-06-04,53,"assalto","world","web",0
2017-06-11,48,"assalto","world","web",0
2017-06-18,45,"assalto","world","web",0
2017-06-25,40,"assalto","world","web",0
2017-07-02,52,"assalto","world","web",0
2017-07-09,95,"assalto","world","web",0
2017-07-16,55,"assalto","world","web",0
2017-07-23,54,"assalto","world","web",0
2017-07-30,59,"assalto","world","web",0
2017-08-06,54,"assalto","world","web",0
2017-08-13,55,"assalto","world","web",0
2017-08-20,54,"assalto","world","web",0
2017-08-27,48,"assalto","world","web",0
2017-09-03,57,"assalto","world","web",0
2017-09-10,43,"assalto","world","web",0
2017-09-17,47,"assalto","world","web",0
2017-09-24,43,"assalto","world","web",0
2017-10-01,65,"assalto","world","web",0
2017-10-08,50,"assalto","world","web",0
2017-10-15,51,"assalto","world","web",0
2017-10-22,47,"assalto","world","web",0
2017-10-29,46,"assalto","world","web",0
2017-11-05,75,"assalto","world","web",0
2017-11-12,46,"assalto","world","web",0
2017-11-19,47,"assalto","world","web",0
2017-11-26,49,"assalto","world","web",0
2017-12-03,47,"assalto","world","web",0
2017-12-10,41,"assalto","world","web",0
2017-12-17,43,"assalto","world","web",0
2017-12-24,45,"assalto","world","web",0
2017-12-31,39,"assalto","world","web",0
2018-01-07,45,"assalto","world","web",0
2018-01-14,45,"assalto","world","web",0
2018-01-21,44,"assalto","world","web",0
2018-01-28,51,"assalto","world","web",0
2018-02-04,75,"assalto","world","web",0
2018-02-11,48,"assalto","world","web",0
2018-02-18,52,"assalto","world","web",0
2018-02-25,59,"assalto","world","web",0
2018-03-04,61,"assalto","world","web",0
2018-03-11,56,"assalto","world","web",0
2018-03-18,53,"assalto","world","web",0
2018-03-25,32,"assalto","world","web",0
2017-04-02,24,"assassinato","world","web",0
2017-04-09,18,"assassinato","world","web",0
2017-04-16,24,"assassinato","world","web",0
2017-04-23,20,"assassinato","world","web",0
2017-04-30,20,"assassinato","world","web",0
2017-05-07,20,"assassinato","world","web",0
2017-05-14,18,"assassinato","world","web",0
2017-05-21,19,"assassinato","world","web",0
2017-05-28,23,"assassinato","world","web",0
2017-06-04,18,"assassinato","world","web",0
2017-06-11,19,"assassinato","world","web",0
2017-06-18,19,"assassinato","world","web",0
2017-06-25,17,"assassinato","world","web",0
2017-07-02,17,"assassinato","world","web",0
2017-07-09,19,"assassinato","world","web",0
2017-07-16,19,"assassinato","world","web",0
2017-07-23,19,"assassinato","world","web",0
2017-07-30,20,"assassinato","world","web",0
2017-08-06,20,"assassinato","world","web",0
2017-08-13,20,"assassinato","world","web",0
2017-08-20,19,"assassinato","world","web",0
2017-08-27,19,"assassinato","world","web",0
2017-09-03,16,"assassinato","world","web",0
2017-09-10,19,"assassinato","world","web",0
2017-09-17,20,"assassinato","world","web",0
2017-09-24,22,"assassinato","world","web",0
2017-10-01,20,"assassinato","world","web",0
2017-10-08,17,"assassinato","world","web",0
2017-10-15,22,"assassinato","world","web",0
2017-10-22,25,"assassinato","world","web",0
2017-10-29,26,"assassinato","world","web",0
2017-11-05,27,"assassinato","world","web",0
2017-11-12,22,"assassinato","world","web",0
2017-11-19,26,"assassinato","world","web",0
2017-11-26,43,"assassinato","world","web",0
2017-12-03,55,"assassinato","world","web",0
2017-12-10,46,"assassinato","world","web",0
2017-12-17,35,"assassinato","world","web",0
2017-12-24,38,"assassinato","world","web",0
2017-12-31,32,"assassinato","world","web",0
2018-01-07,28,"assassinato","world","web",0
2018-01-14,28,"assassinato","world","web",0
2018-01-21,29,"assassinato","world","web",0
2018-01-28,30,"assassinato","world","web",0
2018-02-04,23,"assassinato","world","web",0
2018-02-11,33,"assassinato","world","web",0
2018-02-18,28,"assassinato","world","web",0
2018-02-25,26,"assassinato","world","web",0
2018-03-04,26,"assassinato","world","web",0
2018-03-11,44,"assassinato","world","web",0
2018-03-18,35,"assassinato","world","web",0
2018-03-25,36,"assassinato","world","web",0
